[INFO] [1739202237.557483770] [seekcamera_node]: Seek Camera Manager created and callback registered.
[cameraManagerEventCallback] PRE_AGC (16-bit) streaming started.
[INFO] [1739202250.141223959] [combined_odometry_publisher]: timestamp: 1739202250021481, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071561343669429, roll: -0.024015336620081856, yaw: 2.1089949412516495
[INFO] [1739202250.191243048] [combined_odometry_publisher]: timestamp: 1739202250149459, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071259693266899, roll: -0.024697283393232246, yaw: 2.10802319971419
[INFO] [1739202250.241244579] [combined_odometry_publisher]: timestamp: 1739202250149459, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070644593392867, roll: -0.02456633759950448, yaw: 2.108154271187674
[INFO] [1739202250.291250388] [combined_odometry_publisher]: timestamp: 1739202250149459, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8069678258855658, roll: -0.02369286558541352, yaw: 2.1092868638831557
[INFO] [1739202250.341257124] [combined_odometry_publisher]: timestamp: 1739202250273461, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8069785181662501, roll: -0.023310388001963167, yaw: 2.1098084695385784
[INFO] [1739202250.391239412] [combined_odometry_publisher]: timestamp: 1739202250273461, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070715526377106, roll: -0.023636363765052265, yaw: 2.1092814377190896
[INFO] [1739202250.441246814] [combined_odometry_publisher]: timestamp: 1739202250273461, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8072066681422486, roll: -0.024343019185195904, yaw: 2.1083474620764266
[INFO] [1739202250.491279182] [combined_odometry_publisher]: timestamp: 1739202250399197, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071401035967947, roll: -0.024509310487917057, yaw: 2.1080598659430967
[INFO] [1739202250.541234911] [combined_odometry_publisher]: timestamp: 1739202250399197, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070288957311555, roll: -0.02397598810976143, yaw: 2.1086156210776896
[INFO] [1739202250.591263742] [combined_odometry_publisher]: timestamp: 1739202250522589, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.806996042439633, roll: -0.023515310077728346, yaw: 2.109190049424949
[INFO] [1739202250.641255846] [combined_odometry_publisher]: timestamp: 1739202250522589, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070708806411594, roll: -0.023486604283478, yaw: 2.109176127315826
[INFO] [1739202250.691238986] [combined_odometry_publisher]: timestamp: 1739202250522589, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071273506479066, roll: -0.023872495607675622, yaw: 2.108659319521465
[INFO] [1739202250.741282226] [combined_odometry_publisher]: timestamp: 1739202250647592, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071251629337054, roll: -0.024257297244292934, yaw: 2.1080938221917935
[INFO] [1739202250.791315891] [combined_odometry_publisher]: timestamp: 1739202250647592, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071224301571631, roll: -0.023889599242450398, yaw: 2.1085799165895334
[INFO] [1739202250.841326886] [combined_odometry_publisher]: timestamp: 1739202250772586, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070368925102441, roll: -0.023285732222341194, yaw: 2.1093394460104222
[INFO] [1739202250.891263428] [combined_odometry_publisher]: timestamp: 1739202250772586, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070203389488775, roll: -0.023185132181595236, yaw: 2.1095647641408446
[INFO] [1739202250.941314206] [combined_odometry_publisher]: timestamp: 1739202250772586, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8069950792397882, roll: -0.023676989359992774, yaw: 2.1089122780272964
